Open,High,Low,Close
540.427307,540.427307,506.127411,532.7005
569.551208,569.551208,527.697937,530.323059
534.879883,542.111328,530.298279,538.891846
538.891846,552.265076,533.938782,547.832092
548.797974,551.670715,542.854309,546.395691
562.022583,569.452148,520.070251,535.672363
542.359009,563.310364,533.443481,537.083984
538.891846,540.873047,529.282898,539.189026
537.901245,557.11908,537.901245,555.583618
557.61438,564.102844,547.336792,550.160034
548.302612,552.983276,540.848328,544.58783
544.83551,547.832092,536.241943,537.405945
542.359009,543.399109,530.96698,533.691162
532.452881,533.443481,520.194092,522.076233
515.612488,530.47168,509.916504,521.977173
519.896912,522.249573,513.482727,516.132568
512.145386,520.070251,505.21109,508.950653
515.117188,518.311951,507.687622,513.705566
511.600525,520.961792,504.27002,518.18811
513.878967,522.546753,512.913086,517.79187
521.060852,523.215454,507.241852,508.826843
510.708984,519.277771,510.708984,512.120605
514.126587,514.126587,502.239258,504.7901
482.922363,499.143616,482.922363,486.240936
487.875427,497.459595,482.922363,492.506531
492.209351,494.314392,486.736237,491.9617
495.255463,495.255463,486.389526,487.924957
489.980469,505.11203,489.609009,502.808868
508.678253,508.678253,499.069336,500.258057
500.307587,505.706421,497.781525,504.09668
507.687622,514.027527,506.226471,511.427185
510.164154,514.299927,492.828491,494.215332
492.828491,492.828491,483.987274,486.983887
492.977081,495.304993,480.445862,484.383514
482.427063,486.884827,480.445862,483.095734
480.445862,488.222137,478.786591,484.804535
485.448425,487.875427,475.071808,477.028259
479.950562,492.828491,478.58847,484.878845
487.875427,494.809692,485.101715,486.983887
489.361328,509.173553,489.361328,507.588562
515.117188,515.117188,499.267456,502.239258
506.201721,508.182922,497.831055,500.158997
505.805481,508.678253,496.295624,497.335754
498.524475,501.149597,489.386108,490.525299
492.828491,504.66626,490.005249,499.638916
500.258057,505.21109,498.772125,503.452759
502.734589,511.650055,502.239258,506.003601
506.201721,511.130005,501.793488,509.198303
511.154755,530.86792,509.668854,528.960999
532.353821,536.167664,527.896057,529.827759
531.957581,535.721863,527.054077,533.418701
534.335022,543.101929,530.050659,540.897827
526.013916,544.34021,526.013916,531.9328
533.914001,541.838928,533.418701,540.575867
542.854309,543.349609,533.641602,540.600647
543.349609,550.283875,542.433289,545.058411
546.668152,549.763794,540.377747,541.516968
542.854309,547.658752,536.415344,538.966125
541.318848,542.359009,530.620239,532.081421
533.938782,544.092529,533.443481,540.897827
543.101929,559.521301,543.101929,557.663879
558.704041,561.180542,554.840637,556.326599
557.21814,569.452148,556.277039,559.546082
561.180542,562.914124,545.578491,548.079773
548.897034,560.189941,548.897034,557.069519
567.124207,567.124207,556.054138,558.38208
558.704041,561.675903,550.432434,555.187378
557.21814,562.121643,538.421326,540.229187
537.950745,542.359009,530.545959,537.034424
534.830322,534.830322,520.565552,525.914856
529.902039,534.805603,522.224854,526.608276
529.976379,531.80896,519.153931,522.101013
520.317932,541.814148,520.095032,532.824341
534.929382,542.854309,534.929382,538.990906
534.929382,543.74585,526.756897,530.595459
526.509216,528.985718,522.546753,525.642456
522.026733,522.026733,501.248657,503.84903
507.192322,515.067688,504.7901,512.665466
515.117188,518.683411,510.164154,511.947266
508.182922,511.451935,504.27002,507.068512
507.291382,514.621887,501.991608,505.780701
500.258057,506.969421,496.939514,505.533051
505.11203,506.845612,497.286224,499.193146
483.417694,525.023315,483.417694,511.550995
520.565552,535.920044,515.117188,534.632202
539.387146,539.387146,526.682556,528.886658
532.972961,539.610046,527.029297,536.390564
526.013916,541.566467,526.013916,530.86792
528.837158,530.47168,512.640686,516.925049
512.492065,512.492065,499.762756,503.502289
505.21109,511.872955,499.168396,505.508301
503.725189,504.09668,492.878021,494.636353
495.800293,501.743958,492.209351,495.280243
490.302429,495.230713,483.467224,493.100891
504.22049,519.550171,503.452759,506.523651
507.687622,507.687622,486.760986,488.197388
492.778961,500.258057,490.84726,499.292206
500.753357,509.024963,496.097504,506.325531
510.139374,514.621887,502.486938,513.457947
510.238434,519.327271,509.545013,517.89093
516.751709,517.59375,497.335754,500.530457
502.734589,505.706421,496.964264,500.778137
505.16156,514.126587,505.16156,510.560394
510.659454,513.135986,506.424591,510.758514
502.734589,502.734589,495.304993,499.143616
500.109467,501.595367,492.878021,493.521912
495.404053,502.734589,495.304993,498.796906
500.258057,503.94809,498.846436,502.907928
507.687622,520.491272,505.706421,518.28717
522.497253,529.976379,519.624451,526.756897
527.598877,529.926819,520.119812,528.044678
529.976379,531.28894,522.596313,524.007935
526.657837,533.443481,524.181274,530.6698
535.028442,539.783386,520.342651,522.224854
525.518616,530.818359,525.518616,527.821777
526.509216,532.353821,523.512634,526.905457
524.874695,528.738098,522.051453,524.379395
524.528015,527.896057,518.73291,521.085632
520.070251,528.985718,516.603149,526.484436
531.957581,540.873047,527.574097,539.956726
540.377747,540.377747,527.103577,528.713318
525.023315,541.838928,523.785034,539.808167
536.910645,538.074585,528.242798,533.072021
532.948181,536.885864,527.648438,529.456299
529.976379,531.53656,526.360657,529.134338
527.747498,535.870483,527.747498,531.90802
531.957581,532.353821,520.565552,521.828613
525.023315,529.753479,522.670593,523.586914
526.979736,527.995117,521.828613,523.859314
525.023315,528.960999,521.085632,523.165894
523.661194,533.814941,523.661194,532.10614
534.929382,542.086548,528.614258,530.199219
530.9422,535.375183,529.035278,531.685181
530.496399,531.957581,525.023315,526.484436
524.082214,527.945618,521.952393,523.066833
523.537415,527.945618,519.624451,521.531433
524.478455,526.509216,522.868713,524.230835
524.230835,525.444336,518.881531,524.528015
526.979736,530.422119,523.438354,525.246216
